Nome da Clínica;Telefone;Website Atual;Endereço;Avaliação;Link Google Maps
HOE Hospital Odontológico Especializado em Implante Dentário;(71) 4102-7244;https://www.hospitalodontologico.com.br/;Avenida Luís Viana, 8544 - Piso L1, Av. Alphaville, Salvador - BA, 41730-101;4,9;https://www.google.com/maps/place/HOE+Hospital+Odontol%C3%B3gico+Especializado+em+Implante+Dent%C3%A1rio/data=!4m7!3m6!1s0x7161137b5f4eccd:0x2def1e4bb9d57b05!8m2!3d-12.9366876!4d-38.3945855!16s%2Fg%2F11h8kw6yf9!19sChIJzez0tTcRFgcRBXvVuUse7y0?authuser=0&hl=pt-BR&rclk=1
Dra. Daniela Barbosa | Implantes Dentários | Salvador | Clinica Odontológica;(71) 99175-8616;https://www.dradanielabarbosa.com/implantes;Av. Antônio Carlos Magalhães, 2487 - Brotas, Salvador - BA, 40280-000;5,0;https://www.google.com/maps/place/Dra.+Daniela+Barbosa+%7C+Implantes+Dent%C3%A1rios+%7C+Salvador+%7C+Clinica+Odontol%C3%B3gica/data=!4m7!3m6!1s0x7161b356fa40ec3:0x5ce1b8c1207c08be!8m2!3d-12.9895133!4d-38.4737837!16s%2Fg%2F11wfsdlsyn!19sChIJww6kbzUbFgcRvgh8IMG44Vw?authuser=0&hl=pt-BR&rclk=1
Dentista em Salvador I D João Pedro;(71) 98266-8909;https://api.whatsapp.com/message/DXUFHPZQXUBLA1?autoload=1&app_absent=0;Av. Centenário, 2883 - Chame-Chame - Barra, Salvador - BA, 40150-370;5,0;https://www.google.com/maps/place/Dentista+em+Salvador+I+D+Jo%C3%A3o+Pedro/data=!4m7!3m6!1s0x71603827a168f5f:0xade4becf3fbb7ae0!8m2!3d-13.0058471!4d-38.5225225!16s%2Fg%2F11yw156m_8!19sChIJX48WeoIDFgcR4Hq7P8--5K0?authuser=0&hl=pt-BR&rclk=1
Dra Ilana Neves- Dentista Salvador- Implantes Dentários Salvador;(71) 99126-6087;http://www.implantesdentariossalvador.com/;Empresarial Tancredo Neves - R. Edístio Pondé, 353 - salas 304 e 305 - STIEP, Salvador - BA, 41770-395;5,0;https://www.google.com/maps/place/Dra+Ilana+Neves-+Dentista+Salvador-+Implantes+Dent%C3%A1rios+Salvador/data=!4m7!3m6!1s0x7161b0f7d228707:0xf65af8e30270413d!8m2!3d-12.98399!4d-38.4502288!16s%2Fg%2F11c2p2y7pc!19sChIJB4cifQ8bFgcRPUFwAuP4WvY?authuser=0&hl=pt-BR&rclk=1
Dentista Dr Fausto Queiroz I Implante Dentário em Salvador;(71) 99954-4452;https://api.whatsapp.com/send?phone=5571999544452&text=Oi%20%2C%20vi%20no%20google%2C%20quero%20saber%20mais%20%20sobre%20o%20atendimento%20odontol%C3%B3gico;Condomínio Edifício Profissional Center - Av. Antônio Carlos Magalhães, 2501 - Brotas, Salvador - BA, 41192-065;5,0;https://www.google.com/maps/place/Dentista+Dr+Fausto+Queiroz+I+Implante+Dent%C3%A1rio+em+Salvador/data=!4m7!3m6!1s0x7161b48484c719b:0x4734065d46b8822d!8m2!3d-12.9898379!4d-38.4741683!16s%2Fg%2F11tmxqzsyv!19sChIJm3FMSEgbFgcRLYK4Rl0GNEc?authuser=0&hl=pt-BR&rclk=1
Odontoface - Clínica Odontológica em Salvador;(71) 2101-2834;Não listado;Av. Paulo VI, 642 - Pituba, Salvador - BA, 41810-001;4,9;https://www.google.com/maps/place/Odontoface+-+Cl%C3%ADnica+Odontol%C3%B3gica+em+Salvador/data=!4m7!3m6!1s0x7161b4633f0c305:0xa1dcc067e181a60e!8m2!3d-12.9966482!4d-38.4546107!16s%2Fg%2F11svfxc5h7!19sChIJBcPwM0YbFgcRDqaB4WfA3KE?authuser=0&hl=pt-BR&rclk=1
Dentista Baiano - Especialista em Implantes Dentários em Salvador;(71) 99923-3256;Não listado;Av. Vasco da Gama, 2335 - Sala 05 e 06 - Shopping Vasco da Gama, Salvador - BA, 40290-350;5,0;https://www.google.com/maps/place/Dentista+Baiano+-+Especialista+em+Implantes+Dent%C3%A1rios+em+Salvador/data=!4m7!3m6!1s0x71605806a3d715b:0x7e3526414c2104f2!8m2!3d-12.9896742!4d-38.5031358!16s%2Fg%2F11lcxcs6hw!19sChIJW3E9aoAFFgcR8gQhTEEmNX4?authuser=0&hl=pt-BR&rclk=1
DF Implantes - Odontologia Especializada;(71) 99391-0012;https://dfimplantes.com.br/;Condomínio Edifício Espaço Empresarial, 805, Sala 701 - Caminho das Árvores, Salvador - BA, 41820-000;5,0;https://www.google.com/maps/place/DF+Implantes+-+Odontologia+Especializada/data=!4m7!3m6!1s0x7161ba361b3c8f1:0xc75dbe4d3212ce2!8m2!3d-12.9783298!4d-38.4587123!16s%2Fg%2F11m63pynvy!19sChIJ8cizYaMbFgcR4iwh0-TbdQw?authuser=0&hl=pt-BR&rclk=1
Implante Dentário em Salvador;(71) 99319-4686;https://implantedentarioemsalvador.com.br/;Edifício Fernandez Plaza - Av. Antônio Carlos Magalhães, 2487 - Salas 2411, 2412, 2413 - Brotas, Salvador - BA, 40280-000;N/A;https://www.google.com/maps/place/Implante+Dent%C3%A1rio+em+Salvador/data=!4m7!3m6!1s0x7161b80f2a8ce6d:0x7787362ea2f6c7d8!8m2!3d-12.9895133!4d-38.4737837!16s%2Fg%2F11t6hjsjt9!19sChIJbc6o8oAbFgcR2Mf2oi42h3c?authuser=0&hl=pt-BR&rclk=1
Clínica Odontológica na Barra I Medrado Odontologia I Implante Dentário e outros I Dentista em Salvador, Ba;(71) 99294-1924;https://medradoodontologia.com.br/;Av. Centenário, 2883 - Chame-Chame, 40150-370, 4° andar, Sl 408 - Barra, Salvador - BA, 40150-370;5,0;https://www.google.com/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+na+Barra+I+Medrado+Odontologia+I+Implante+Dent%C3%A1rio+e+outros+I+Dentista+em+Salvador,+Ba/data=!4m7!3m6!1s0x7160527639d025b:0x76d4debad6645d4!8m2!3d-13.0059863!4d-38.5227006!16s%2Fg%2F11pyc5km01!19sChIJWwKdYycFFgcR1EVmretNbQc?authuser=0&hl=pt-BR&rclk=1
Dr. Luciano Dantas - DENTISTA SALVADOR;(71) 99306-1111;https://bio.site/lucianodantas;Avenida Luiz Viana filho, Wall Street Empresarial Número 6462 Patamares - Paralela, Salvador - BA, 41730-101;5,0;https://www.google.com/maps/place/Dr.+Luciano+Dantas+-+DENTISTA+SALVADOR/data=!4m7!3m6!1s0x71611296212c093:0xfddce0435292dc9!8m2!3d-12.9402058!4d-38.4127959!16s%2Fg%2F1pty4v9x8!19sChIJk8ASYikRFgcRyS0pNQTO3Q8?authuser=0&hl=pt-BR&rclk=1
Instituto Odontológico Dr. Pedro Alexandre;(71) 99271-4195;https://institutopedroalexandre.com.br/;Av. Tancredo Neves, 1632 Edf. Salvador Trade Center - Térreo - Caminho das Árvores, Salvador - BA, 41820-020;5,0;https://www.google.com/maps/place/Instituto+Odontol%C3%B3gico+Dr.+Pedro+Alexandre/data=!4m7!3m6!1s0x7161b727ccb5dd1:0xcc65995a22a6d284!8m2!3d-12.9834666!4d-38.4538831!16s%2Fg%2F11f6dq1lbq!19sChIJ0V3LfHIbFgcRhNKmIlqZZcw?authuser=0&hl=pt-BR&rclk=1
Bem Sorriso Implantes;(71) 3015-5484;https://clinicabemsorriso.com.br/pituba;R. Alexandre Herculano, 30 - Pituba, Salvador - BA, 41810-395;5,0;https://www.google.com/maps/place/Bem+Sorriso+Implantes/data=!4m7!3m6!1s0x7161bdc5e5621df:0xb7bd564885dbb82b!8m2!3d-12.9990857!4d-38.4598202!16s%2Fg%2F11wxyfh_bf!19sChIJ3yFWXtwbFgcRK7jbhUhWvbc?authuser=0&hl=pt-BR&rclk=1
Dr. Ari Sandes Sobral;(71) 99663-3804;https://www.arisandessobral.com/;Rua Leonor Calmon, 256 - Candeal, Salvador - BA, 40301-155;5,0;https://www.google.com/maps/place/Dr.+Ari+Sandes+Sobral/data=!4m7!3m6!1s0x71604a1dbbe0829:0x39af98559cf4f51a!8m2!3d-12.9942171!4d-38.4789794!16s%2Fg%2F11rrz38cq!19sChIJKQi-26EEFgcRGvX0nFWYrzk?authuser=0&hl=pt-BR&rclk=1
Hoe Hospital Odontológico Especializado em Implante Dentário;(71) 4102-7244;https://www.hospitalodontologico.com.br/;Av. Manoel Dias da Silva, 1783 - Pituba, Salvador - BA, 41830-001;4,9;https://www.google.com/maps/place/Hoe+Hospital+Odontol%C3%B3gico+Especializado+em+Implante+Dent%C3%A1rio/data=!4m7!3m6!1s0x7161b6133286225:0x2db9a660a1069e05!8m2!3d-13.0058786!4d-38.4605067!16s%2Fg%2F11gfj5x_jz!19sChIJJWIoM2EbFgcRBZ4GoWCmuS0?authuser=0&hl=pt-BR&rclk=1
Proimplante;(71) 98791-0033;http://proimplante.com.br/;Av. Antônio Carlos Magalhães, 585 - 1º andar Salas 101/102/103/104 - Itaigara, Salvador - BA, 41825-000;5,0;https://www.google.com/maps/place/Proimplante/data=!4m7!3m6!1s0x7161b3e7df9c00f:0x546da7e2d63cbf31!8m2!3d-12.998106!4d-38.4635524!16s%2Fg%2F1ptxrf77v!19sChIJD8D5fT4bFgcRMb881uKnbVQ?authuser=0&hl=pt-BR&rclk=1
Dr. Bruno Guida Periodontista;(71) 98677-9247;https://periodontistasalvador.com.br/;Ed. Salvador Trade Center, torre Norte - Av. Tancredo Neves, 1632 - sala 714 - Caminho das Árvores, Salvador - BA, 41820-020;5,0;https://www.google.com/maps/place/Dr.+Bruno+Guida+Periodontista/data=!4m7!3m6!1s0x7161b5ef6353dab:0x64844688dd402e16!8m2!3d-12.9837129!4d-38.4537432!16s%2Fg%2F11grbxy84q!19sChIJqz019l4bFgcRFi5A3YhGhGQ?authuser=0&hl=pt-BR&rclk=1
Medicina Oral;(71) 99382-1116;http://clinicamedicinaoral.com.br/;Rua Leonor M, C C Bitencourt, 256 - Sala 102 - Candeal, Salvador - BA, 40296-210;4,9;https://www.google.com/maps/place/Medicina+Oral/data=!4m7!3m6!1s0x7161b4e976c322f:0xe4283151b998d814!8m2!3d-12.9942851!4d-38.4789748!16s%2Fg%2F1trvlmsj!19sChIJLzJsl04bFgcRFNiYuVExKOQ?authuser=0&hl=pt-BR&rclk=1
Iappem Clinic | Clínica Odontológica em Salvador - BA;(71) 98242-4363;https://iappemclinicodontologia.com.br/;Marinho de Esquina - Av. Fernandes da Cunha, 117 - Casa Azul - Roma, Salvador - BA, 40445-200;5,0;https://www.google.com/maps/place/Iappem+Clinic+%7C+Cl%C3%ADnica+Odontol%C3%B3gica+em+Salvador+-+BA/data=!4m7!3m6!1s0x716059ea032c779:0x6c2fe50d626a7faa!8m2!3d-12.937576!4d-38.504541!16s%2Fg%2F11mm48qmx0!19sChIJeccyoJ4FFgcRqn9qYg3lL2w?authuser=0&hl=pt-BR&rclk=1
Marchionni Reabilitação e Estética;(71) 3043-5954;https://clinicamarchionni.com.br/;Ed. CEO Salvador, Shopping Torre Londres - R. Frederico Simões, 2539 - salas 2004/2005 - Caminho das Árvores, Salvador - BA, 41820-774;5,0;https://www.google.com/maps/place/Marchionni+Reabilita%C3%A7%C3%A3o+e+Est%C3%A9tica/data=!4m7!3m6!1s0x7161be5ad752c81:0xe546146489b96d81!8m2!3d-12.9795584!4d-38.4523654!16s%2Fg%2F11g1ls242c!19sChIJgSx1reUbFgcRgW25iWQURuU?authuser=0&hl=pt-BR&rclk=1
Clínica Oral Excellence;(71) 3356-2400;https://oralexcellence.com.br/;Av. Dom João VI, 1041 - Brotas, Salvador - BA, 40285-000;4,9;https://www.google.com/maps/place/Cl%C3%ADnica+Oral+Excellence/data=!4m7!3m6!1s0x7160557915f2d33:0x3c519dfb235c1d56!8m2!3d-12.9896491!4d-38.490756!16s%2Fg%2F11kkql_31h!19sChIJMy1fkVcFFgcRVh1cI_udUTw?authuser=0&hl=pt-BR&rclk=1
Dr. Maurício Bulhões - Implantes Dentários;(71) 3341-8276;https://www.mauriciobulhoes.com.br/implantes-v1;Premier Tower - Av. Prof. Magalhães Neto, Sala 906 a 910 - Caminho das Árvores, Salvador - BA, 41192-155;5,0;https://www.google.com/maps/place/Dr.+Maur%C3%ADcio+Bulh%C3%B5es+-+Implantes+Dent%C3%A1rios/data=!4m7!3m6!1s0x7161b72d6fed32f:0x83275ba3017a599b!8m2!3d-12.9913194!4d-38.450551!16s%2Fg%2F11cllnfmlq!19sChIJL9P-1nIbFgcRm1l6AaNbJ4M?authuser=0&hl=pt-BR&rclk=1
Peridonto Consultório Odontológico;(71) 99634-0884;Não listado;Rua Estrada de Campinas,327 Edf Lorena Flores, sala 201 - São Caetano, Salvador - BA, 40391-160;4,9;https://www.google.com/maps/place/Peridonto+Consult%C3%B3rio+Odontol%C3%B3gico/data=!4m7!3m6!1s0x7161b63f52746bf:0x19952895596edafb!8m2!3d-12.9327823!4d-38.4816708!16s%2Fg%2F11h1j_0m44!19sChIJv0Yn9WMbFgcR-9puWZUolRk?authuser=0&hl=pt-BR&rclk=1
O Dentista - Clinica Odontológica em Salvador;(71) 3242-7486;http://www.odentistabrasil.com.br/;edf Serra da Raiz - R. da Grécia, 165 - Loja 06 Térreo - Comércio, Salvador - BA, 40010-010;4,9;https://www.google.com/maps/place/O+Dentista+-+Clinica+Odontol%C3%B3gica+em+Salvador/data=!4m7!3m6!1s0x71604e50b5c895f:0xb3a7fd27c17c91a5!8m2!3d-12.9715699!4d-38.5142753!16s%2Fg%2F1v6qhtx2!19sChIJX4lcC-UEFgcRpZF8wSf9p7M?authuser=0&hl=pt-BR&rclk=1
DENTISTA SALVADOR;(71) 99619-7601;https://dentistasalvador.com.br/;R. Dr. José Peroba - STIEP, Salvador - BA, 41770-235;4,9;https://www.google.com/maps/place/DENTISTA+SALVADOR/data=!4m7!3m6!1s0x7161b0f7a69003d:0xcbb9104750933f2f!8m2!3d-12.9870937!4d-38.4484524!16s%2Fg%2F11hd1pvgbv!19sChIJPQBpeg8bFgcRLz-TUEcQucs?authuser=0&hl=pt-BR&rclk=1
Oral Unic Implantes - Dr. Gabriel Paternostro;(71) 99976-9654;Não listado;Av. Paulo VI, 1805 - Pituba, Salvador - BA, 41810-000;5,0;https://www.google.com/maps/place/Oral+Unic+Implantes+-+Dr.+Gabriel+Paternostro/data=!4m7!3m6!1s0x7161b1485350295:0xbbc5f06ddb606c4b!8m2!3d-12.9899968!4d-38.45927!16s%2Fg%2F11t74c7jl_!19sChIJlQI1hRQbFgcRS2xg223wxbs?authuser=0&hl=pt-BR&rclk=1
Oral Sin Implantes Salvador;(71) 99730-8655;https://oralsinsalvadorondina.com.br/oral-sin-salvador/;Av. Milton Santos, 190 - Ondina, Salvador - BA, 40170-110;4,9;https://www.google.com/maps/place/Oral+Sin+Implantes+Salvador/data=!4m7!3m6!1s0x71603f1aecb8aa5:0xda55decd532b6ea5!8m2!3d-13.0088909!4d-38.5088268!16s%2Fg%2F11rsmrrk05!19sChIJpYrLrvEDFgcRpW4rU83eVdo?authuser=0&hl=pt-BR&rclk=1
Dra. Tatiana Mendes;(71) 99954-4452;https://wa.me/557199544452;Avenida Antônio Carlos Magalhães, Condomínio Edifício Profissional Center, 2501 - Brotas, Salvador - BA, 41192-065;4,9;https://www.google.com/maps/place/Dra.+Tatiana+Mendes/data=!4m7!3m6!1s0x7161b47e490de91:0x6ebcb6352524a979!8m2!3d-12.9901402!4d-38.4738837!16s%2Fg%2F11f3j8nltb!19sChIJkd6Q5EcbFgcReakkJTW2vG4?authuser=0&hl=pt-BR&rclk=1
Clínica Odontológica IC Odontologia Estética - Clareamento Dental - Prótese Dentária ✅;(71) 99143-6981;https://www.melhorhora.com.br/vitrine/ic-odontologia;Ed. Nina - Rua Thomaz Gonzaga, 82 - sala 03 - Pernambués, Salvador - BA, 41100-000;5,0;https://www.google.com/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+IC+Odontologia+Est%C3%A9tica+-+Clareamento+Dental+-+Pr%C3%B3tese+Dent%C3%A1ria+%E2%9C%85/data=!4m7!3m6!1s0x7161bff1f7aebe3:0x2f2e3b8777427e93!8m2!3d-12.9648953!4d-38.4684339!16s%2Fg%2F11jk5_gbzz!19sChIJ4-t6H_8bFgcRk35Cd4c7Li8?authuser=0&hl=pt-BR&rclk=1
Instituto Bioimplante;(71) 3353-0575;https://lp.institutobioimplante.com.br/;Complexo Odonto Médico Itaigara, Edf. Pierre Fauchard - Av. Antônio Carlos Magalhães, 585 - Itagaira, Salvador - BA, 41825-000;4,9;https://www.google.com/maps/place/Instituto+Bioimplante/data=!4m7!3m6!1s0x7161b6897a29cb7:0xe0ce8e1428be44dc!8m2!3d-12.99791!4d-38.463652!16s%2Fg%2F1tdm3y3r!19sChIJt5yil2gbFgcR3ES-KBSOzuA?authuser=0&hl=pt-BR&rclk=1
⭐Dr Francisco Rosa - IMPLANTE DENTÁRIO;(71) 99156-9503;https://business.google.com/v/_/01055275374252284642/ed38/_?;Memorial Linus Pauling, Edificio Itaigara - R. Altino Serbeto de Barros, 119 - Loja 5 Terreo - Itaigara, Salvador - BA, 41830-492;5,0;https://www.google.com/maps/place/%E2%AD%90Dr+Francisco+Rosa+-+IMPLANTE+DENT%C3%81RIO/data=!4m7!3m6!1s0x7161b0031d2a4e1:0x3dd833b53fed4dda!8m2!3d-12.9981644!4d-38.4643766!16s%2Fg%2F11vyzsjnvx!19sChIJ4aTSMQAbFgcR2k3tP7Uz2D0?authuser=0&hl=pt-BR&rclk=1
Bem Sorriso Implantes;(71) 3015-5484;https://clinicabemsorriso.com.br/itapua/;Av Dorival Caymmi, 28, loja 4, térreo - Itapuã, Salvador - BA, 41635-151;4,9;https://www.google.com/maps/place/Bem+Sorriso+Implantes/data=!4m7!3m6!1s0x716177ce4fdaacf:0xfdb2b1e8c6f0b7b4!8m2!3d-12.9477884!4d-38.3673913!16s%2Fg%2F11c2lr91gg!19sChIJz6r95HwXFgcRtLfwxuixsv0?authuser=0&hl=pt-BR&rclk=1
Anma Odontologia Integrada, Clínica Odontológica em Salvador, Parque Bela Vista.;(71) 98290-3357;http://www.anmaodontologia.com.br/;Rua Senador Theotônio Vilela, 190 - sala 903 - Brotas, Salvador - BA, 40279-435;4,9;https://www.google.com/maps/place/Anma+Odontologia+Integrada,+Cl%C3%ADnica+Odontol%C3%B3gica+em+Salvador,+Parque+Bela+Vista./data=!4m7!3m6!1s0x7161b0d09c75d5d:0x39beac385e9d36b2!8m2!3d-12.9879527!4d-38.4718421!16s%2Fg%2F11fkyy2tb0!19sChIJXV3HCQ0bFgcRsjadXjisvjk?authuser=0&hl=pt-BR&rclk=1
CLINICA IMPLANTE MASTER;(71) 98735-5383;https://implantemaster.com.br/;R. Ismar Araújo, 05 - Pau da Lima, Salvador - BA, 41235-010;5,0;https://www.google.com/maps/place/CLINICA+IMPLANTE+MASTER/data=!4m7!3m6!1s0x716111269d4d42f:0x8940dba2ad6e0af9!8m2!3d-12.916252!4d-38.442602!16s%2Fg%2F11sczy8kfn!19sChIJL9TUaRIRFgcR-QpuraLbQIk?authuser=0&hl=pt-BR&rclk=1
Clínica Ayra Estética Orofacial;(71) 99103-8527;Não listado;Clínica Ayra, Ed. Max Center - Av. Antônio Carlos Magalhães, 846 - 1° andar, Sala 115 - Itaigara, Salvador - BA, 40210-755;4,9;https://www.google.com/maps/place/Cl%C3%ADnica+Ayra+Est%C3%A9tica+Orofacial/data=!4m7!3m6!1s0x716058f3a5227e9:0x6a382fc7791aaff3!8m2!3d-12.9961359!4d-38.4653762!16s%2Fg%2F11kjg8rkhf!19sChIJ6SdSOo8FFgcR868aeccvOGo?authuser=0&hl=pt-BR&rclk=1
Oral Clean Odontologia Digital - Drª Luciana Sarno;(71) 3341-4057;https://www.adoromeusorriso.com.br/;Av. Tancredo Neves, 1632 sala 711 Edifício Salvador Trade Center - Torre Norte - Caminho das Árvores, Salvador - BA, 41820-915;4,9;https://www.google.com/maps/place/Oral+Clean+Odontologia+Digital+-+Dr%C2%AA+Luciana+Sarno/data=!4m7!3m6!1s0x7161b057929a6a3:0x9069a592b8349454!8m2!3d-12.9833052!4d-38.4536949!16s%2Fg%2F1s04fp4tz!19sChIJo6YpeQUbFgcRVJQ0uJKlaZA?authuser=0&hl=pt-BR&rclk=1
CLIOPAF;(71) 3358-4938;http://cliopaf.com.br/;AV TANCREDO NEVES N620 EDF MUNDO PLAZA SALA 517/518 - Caminho das Árvores, Salvador - BA, 41820-021;4,9;https://www.google.com/maps/place/CLIOPAF/data=!4m7!3m6!1s0x7161bd705a1e6b5:0xd37435a15271cf58!8m2!3d-12.9794415!4d-38.4607438!16s%2Fg%2F11h3mwp3mk!19sChIJteahBdcbFgcRWM9xUqE1dNM?authuser=0&hl=pt-BR&rclk=1
Lappidare Clínica Odontológica | Salvador;(71) 98772-3832;Não listado;Av. Luís Viana Filho, 6462 - Paralela, Salvador - BA, 41730-101;5,0;https://www.google.com/maps/place/Lappidare+Cl%C3%ADnica+Odontol%C3%B3gica+%7C+Salvador/data=!4m7!3m6!1s0x7161140a6e3bcff:0xd7f22c6d664a93ef!8m2!3d-12.9400545!4d-38.4126497!16s%2Fg%2F11z4y4vzn2!19sChIJ_7zjpkARFgcR75NKZm0s8tc?authuser=0&hl=pt-BR&rclk=1
Dentelle Clínica Odontológica | Ortodontia | Prótese | Salvador-Ba;(71) 99380-9908;http://www.clinicadentelle.com.br/;Torre Londres - Av. Tancredo Neves, 2539 CEO Salvador Shopping, Sala 908 - Caminho das Árvores, Salvador - BA, 41820-021;4,7;https://www.google.com/maps/place/Dentelle+Cl%C3%ADnica+Odontol%C3%B3gica+%7C+Ortodontia+%7C+Pr%C3%B3tese+%7C+Salvador-Ba/data=!4m7!3m6!1s0x7161b2d148c3cd3:0x41afcd56748b27f9!8m2!3d-12.9794507!4d-38.4522353!16s%2Fg%2F11gtd16pj3!19sChIJ0zyMFC0bFgcR-SeLdFbNr0E?authuser=0&hl=pt-BR&rclk=1
